City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Lumeje,AO,2021-12-27 23:50:52,-11.55,20.7833,65.97,93,100,1.59
224,Caraquet,CA,2021-12-27 23:50:53,47.7941,-64.9386,28.94,88,23,6.26
225,Teguldet,RU,2021-12-27 23:50:53,57.3064,88.1667,18.55,95,100,5.75
226,Aswan,EG,2021-12-27 23:50:54,24.0934,32.907,58.3,38,0,8.05
227,Dalby,AU,2021-12-27 23:50:54,-27.1833,151.2667,74.1,55,69,25.52
228,Kodiak,US,2021-12-27 23:50:55,57.79,-152.4072,45.91,71,90,3.44
229,Port Macquarie,AU,2021-12-27 23:50:55,-31.4333,152.9167,66.16,62,100,12.55
230,Qaanaaq,GL,2021-12-27 23:51:56,77.484,-69.3632,-4.52,54,61,8.08
231,La Rioja,ES,2021-12-27 23:51:56,42.25,-2.5,47.98,73,50,6.4
232,Puerto Ayacucho,VE,2021-12-27 23:51:56,5.6639,-67.6236,85.78,49,65,4.16
233,Santander Jimenez,MX,2021-12-27 23:51:57,24.2167,-98.4667,76.42,56,0,13.76
234,Agirish,RU,2021-12-27 23:51:57,61.9247,63.0231,0.01,99,97,3.51
235,Fujin,CN,2021-12-27 23:51:58,47.26,132.0322,-10.43,86,6,9.06
236,Willowmore,ZA,2021-12-27 23:51:59,-33.2926,23.4895,62.15,60,100,3.11
237,Codrington,AU,2021-12-27 23:51:59,-38.2667,141.9667,66.4,52,5,15.01
238,Mayumba,GA,2021-12-27 23:51:59,-3.432,10.6554,76.3,88,91,6.15
239,Verkhnevilyuysk,RU,2021-12-27 23:52:00,63.4453,120.3167,-11.69,98,100,4.92
240,Voh,NC,2021-12-27 23:52:01,-20.9667,164.7,88.34,60,100,3.22
241,Pangai,TO,2021-12-27 23:52:01,-19.8,-174.35,84.31,70,20,4.61
242,Balad,IQ,2021-12-27 23:52:02,34.0164,44.1453,46.36,43,0,8.5
243,San Joaquin,US,2021-12-27 23:52:03,37.9333,-121.3011,50.63,72,75,14.97
244,Marawi,PH,2021-12-27 23:52:03,7.9986,124.2928,68.65,90,96,2.42
245,Eyl,SO,2021-12-27 23:52:03,7.9803,49.8164,73.24,76,87,10.58
246,Batagay,RU,2021-12-27 23:52:04,67.6333,134.6333,-43.64,99,97,1.92
247,Northam,GB,2021-12-27 23:52:05,51.0333,-4.2167,51.42,98,75,18.12
248,Juneau,US,2021-12-27 23:51:47,58.3019,-134.4197,26.65,94,20,0.0
249,Nabire,ID,2021-12-27 23:52:05,-3.3667,135.4833,79.66,84,100,1.45
250,Hajos,HU,2021-12-27 23:52:06,46.3986,19.1206,31.06,98,86,3.58
251,San Patricio,US,2021-12-27 23:52:06,28.017,-97.5169,80.58,73,5,17.02
252,Namatanai,PG,2021-12-27 23:52:07,-3.6667,152.4333,85.37,70,78,7.78
